"filename", "language", "Markdown", "JSON", "YAML", "XML", "PHP", "PostCSS", "HTML", "JavaScript JSX", "Docker", "MS SQL", "comment", "blank", "total"
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-font-lib/src/FontLib/TrueType/Collection.php", "PHP", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 21, 22, 100
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-font-lib/src/FontLib/TrueType/File.php", "PHP", 0, 0, 0, 0, 427, 0, 0, 0, 0, 0, 77, 87, 591
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-font-lib/src/FontLib/TrueType/Header.php", "PHP", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 10, 4, 30
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-font-lib/src/FontLib/TrueType/TableDirectoryEntry.php", "PHP", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 10, 7, 33
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-font-lib/src/FontLib/WOFF/File.php", "PHP", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 18, 17, 81
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-font-lib/src/FontLib/WOFF/Header.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 10, 2, 31
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-font-lib/src/FontLib/WOFF/TableDirectoryEntry.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 10, 7, 34
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/AUTHORS.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/README.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/composer.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/CssLength.php", "PHP", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 48, 15, 135
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/DefaultStyle.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 5, 29
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Document.php", "PHP", 0, 0, 0, 0, 325, 0, 0, 0, 0, 0, 34, 86, 445
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Gradient/Stop.php", "PHP", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 3, 16
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Style.php", "PHP", 0, 0, 0, 0, 465, 0, 0, 0, 0, 0, 32, 68, 565
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Surface/CPdf.php", "PHP", 0, 0, 0, 0, 3890, 0, 0, 0, 0, 0, 1599, 923, 6412
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Surface/SurfaceCpdf.php", "PHP", 0, 0, 0, 0, 367, 0, 0, 0, 0, 0, 23, 105, 495
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Surface/SurfaceInterface.php", "PHP", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 19, 34, 90
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Surface/SurfacePDFLib.php", "PHP", 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 25, 87, 430
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/AbstractTag.php", "PHP", 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 55, 61, 327
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Anchor.php", "PHP", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 4, 14
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Circle.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 6, 36
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/ClipPath.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 9, 33
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Ellipse.php", "PHP", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 8, 42
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Group.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 9, 33
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Image.php", "PHP", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 16, 76
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Line.php", "PHP", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 8, 43
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/LinearGradient.php", "PHP", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 16, 83
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Path.php", "PHP", 0, 0, 0, 0, 476, 0, 0, 0, 0, 0, 30, 75, 581
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Polygon.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 8, 42
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Polyline.php", "PHP", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 7, 40
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/RadialGradient.php", "PHP", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 4, 17
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Rect.php", "PHP", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 9, 50
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Shape.php", "PHP", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 11, 13, 62
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Stop.php", "PHP", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 4, 17
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/StyleTag.php", "PHP", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 6, 27
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Symbol.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 8, 33
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/Text.php", "PHP", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 5, 14, 72
"/Users/msierradiego/Proyecto1/App/vendor/dompdf/php-svg-lib/src/Svg/Tag/UseTag.php", "PHP", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 8, 24, 132
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/.github/workflows/docs.yml", "YAML", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/.github/workflows/php.yml", "YAML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/CONTRIBUTING.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/README.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 64
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/composer.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/composer.lock", "JSON", 0, 1785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1786
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/_index.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/engine/_index.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/engine/extensions.md", "Markdown", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 120
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/engine/file-extensions.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/engine/folders.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 49
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/engine/functions.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 34
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/engine/overview.md", "Markdown", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 57
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/engine/themes.md", "Markdown", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 69
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/extensions/_index.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/extensions/asset.md", "Markdown", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 58
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/extensions/community.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/extensions/uri.md", "Markdown", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 81
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/getting-started/_index.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/getting-started/installation.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/getting-started/simple-example.md", "Markdown", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/templates/_index.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/templates/data.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 61
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/templates/escaping.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 50
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/templates/functions.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 47
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/templates/inheritance.md", "Markdown", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 64
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/templates/layouts.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 105
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/templates/nesting.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/templates/overview.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 73
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/templates/sections.md", "Markdown", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 84
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/content/templates/syntax.md", "Markdown", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/layouts/_default/baseof.html", "HTML", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 1, 8, 108
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/layouts/_default/list.html", "HTML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/layouts/_default/single.html", "HTML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/layouts/partials/title.html", "HTML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/layouts/shortcodes/code-filename.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/layouts/shortcodes/html.html", "HTML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 3
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/doc/static/css/custom.css", "PostCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/example/example.php", "PHP", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 5, 13
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/example/templates/layout.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/example/templates/profile.php", "PHP", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 3, 12
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/example/templates/sidebar.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Engine.php", "PHP", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 127, 44, 307
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Exception/TemplateNotFound.php", "PHP", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Extension/Asset.php", "PHP", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 30, 14, 86
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Extension/ExtensionInterface.php", "PHP", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 4, 14
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Extension/URI.php", "PHP", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 47, 17, 114
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/Data.php", "PHP", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 33, 15, 94
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/Directory.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 20, 9, 54
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/FileExtension.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 20, 7, 46
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/Folder.php", "PHP", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 48, 17, 110
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/Folders.php", "PHP", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 29, 13, 76
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/Func.php", "PHP", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 40, 16, 110
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/Functions.php", "PHP", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 28, 13, 79
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/Name.php", "PHP", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 72, 32, 207
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/ResolveTemplatePath.php", "PHP", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 4, 14
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/ResolveTemplatePath/NameAndFolderResolveTemplatePath.php", "PHP", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 5, 21
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/ResolveTemplatePath/ThemeResolveTemplatePath.php", "PHP", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/Template.php", "PHP", 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 142, 54, 385
"/Users/msierradiego/Proyecto1/App/vendor/league/plates/src/Template/Theme.php", "PHP", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 9, 14, 81
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/README.md", "Markdown", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 271
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/RELEASE.md", "Markdown", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 158
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/UPGRADING.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 22
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/bin/entities.php", "PHP", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 5, 27
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/composer.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5.php", "PHP", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 122, 27, 246
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Elements.php", "PHP", 0, 0, 0, 0, 427, 0, 0, 0, 0, 0, 180, 31, 638
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Entities.php", "PHP", 0, 0, 0, 0, 2230, 0, 0, 0, 0, 0, 4, 3, 2237
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Exception.php", "PHP", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 3, 11
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/InstructionProcessor.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 33, 3, 42
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/CharacterReference.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 29, 8, 62
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/DOMTreeBuilder.php", "PHP", 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 182, 127, 714
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/EventHandler.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 84, 14, 115
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/FileInputStream.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 20, 4, 34
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/InputStream.php", "PHP", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 67, 9, 88
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/ParseError.php", "PHP", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 3, 11
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/README.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 54
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/Scanner.php", "PHP", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 196, 54, 417
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/StringInputStream.php", "PHP", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 160, 39, 337
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/Tokenizer.php", "PHP", 0, 0, 0, 0, 666, 0, 0, 0, 0, 0, 361, 189, 1216
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/TreeBuildingRules.php", "PHP", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 21, 11, 127
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Parser/UTF8Utils.php", "PHP", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 99, 18, 178
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Serializer/HTML5Entities.php", "PHP", 0, 0, 0, 0, 1517, 0, 0, 0, 0, 0, 14, 3, 1534
"/Users/msierradiego/Proyecto1/App/vendor/masterminds/html5/src/HTML5/Serializer/OutputRules.php", "PHP", 0, 0, 0, 0, 345, 0, 0, 0, 0, 0, 146, 69, 560
